year,city,country,avg_temp,10year-MA
1988,Dallas,United States,18.19,18.165
1989,Dallas,United States,17.48,18.202
1990,Dallas,United States,18.97,18.222
1991,Dallas,United States,18.47,18.228
1992,Dallas,United States,18.19,18.23
1993,Dallas,United States,17.82,18.292
1994,Dallas,United States,18.31,18.276
1995,Dallas,United States,18.45,18.299
1996,Dallas,United States,18.43,18.259
1997,Dallas,United States,17.85,18.216
1998,Dallas,United States,19.85,18.382
1999,Dallas,United States,19.61,18.595
2000,Dallas,United States,18.9,18.588
2001,Dallas,United States,18.55,18.596
2002,Dallas,United States,18.19,18.596
2003,Dallas,United States,18.55,18.669
2004,Dallas,United States,18.58,18.696
2005,Dallas,United States,19.13,18.764
2006,Dallas,United States,19.85,18.906
2007,Dallas,United States,18.42,18.963
2008,Dallas,United States,18.52,18.83
2009,Dallas,United States,18.42,18.711
2010,Dallas,United States,18.69,18.69
2011,Dallas,United States,19.69,18.804
2012,Dallas,United States,19.99,18.984
2013,Dallas,United States,20.45,19.174
